name	pattern	example	description
arctos	http[s]{0,1}://arctos.database.museum/guid/[a-zA-Z]+:[a-zA-Z]+:[a-zA-Z0-9().-]+[a-zA-Z0-9]	http://arctos.database.museum/guid/MSB:Mamm:232346	pattern matches arctos specimen identifiers 
uuid-urn	urn:uuid:[a-fA-F0-9]{8}-[a-fA-F0-9]{4}-[a-fA-F0-9]{4}-[a-fA-F0-9]{4}-[a-fA-F0-9]{12}	urn:uuid:46b51306-79ba-4a79-975b-094ccaf424ad	pattern matching UUIDs
uuid	[a-fA-F0-9]{8}-[a-fA-F0-9]{4}-[a-fA-F0-9]{4}-[a-fA-F0-9]{4}-[a-fA-F0-9]{12}	46b51306-79ba-4a79-975b-094ccaf424ad	pattern matching UUIDs
email	[a-zA-Z0-9_.+-]+@(?:[a-zA-Z0-9-]+\.)+[a-zA-Z]{2,6}	joe@example.org	matches uncomplicated email addresses
doi	10[.][0-9]{4,9}/[a-zA-Z0-9][._;()/:a-zA-Z0-9-]+[a-zA-Z0-9]	10.1000/182	doi pattern 
symbiota	http[s]{0,1}://[a-zA-Z0-9.:-]+/portal/collections/individual/index.php[?]{1}occid=[0-9]+	https://scan-bugs.org/portal/collections/individual/index.php?occid=31925925	symbiota hosted specimen references
inaturalist	http[s]{0,1}://www.inaturalist.org/observations/[0-9]+	https://www.inaturalist.org/observations/27508530	inaturalist observation records
orcid	0000-00[0-9]{2}-[0-9]{4}-[0-9]{4}	0000-0003-1038-3028	ids for people and institutions https://orcid.org/
genbank	http[s]{0,1}://www.ncbi.nlm.nih.gov/nuccore/([A-Za-z]+_?){0,1}[0-9]+([.][0-9]+){0,}	http://www.ncbi.nlm.nih.gov/nuccore/AY181515	links to genetic sequences via NCBI's GenBank
bold	BOLD:[A-Z0-9]+([.][0-9]+)*	BOLD:AAL4464	links to Barcode of Life Data System (BOLD) via Barcode Index Numbers (BIN) URIs. See https://doi.org/10.1371/journal.pone.0066213
ark	ark:/[0-9]{5}/[0-9A-Za-z=#*+@_$%/-]+	ark:/65665/387f21a69b6294330858f7ea60e3ca132	Archival Resource Keys (ARKs) See https://en.wikipedia.org/wiki/Archival_Resource_Key
